x,y,species max
851.0,851.0,0.2082511
852.0,852.0,0.23912126
853.0,853.0,0.96611196
854.0,854.0,0.051308334
855.0,855.0,2.3540979E-5
856.0,856.0,0.24387355
857.0,857.0,0.13987851
858.0,858.0,0.07517773
859.0,859.0,2.6856904E-4
860.0,860.0,0.02701559
861.0,861.0,2.1267559E-4
862.0,862.0,1.215417E-4
863.0,863.0,0.03036968
864.0,864.0,0.48493364
865.0,865.0,4.0704134E-4
866.0,866.0,0.0019301375
867.0,867.0,0.011452908
868.0,868.0,0.0018966149
869.0,869.0,0.1927659
870.0,870.0,2.9795358E-4
871.0,871.0,0.1670852
872.0,872.0,0.030387457
873.0,873.0,0.2655893
874.0,874.0,2.6067548E-10
875.0,875.0,0.027812632
876.0,876.0,0.32234037
877.0,877.0,0.10931191
878.0,878.0,0.4242788
879.0,879.0,0.10307391
880.0,880.0,2.85872E-6
881.0,881.0,0.36034402
882.0,882.0,2.2475668E-9
883.0,883.0,0.09698373
884.0,884.0,0.33510175
885.0,885.0,0.073140346
886.0,886.0,0.012656973
887.0,887.0,0.027336713
888.0,888.0,1.3707229E-8
889.0,889.0,0.34928808
890.0,890.0,0.001093339
891.0,891.0,0.056522403
892.0,892.0,0.22196451
893.0,893.0,0.12893102
894.0,894.0,1.2929801E-9
895.0,895.0,2.2091893E-9
896.0,896.0,0.17999546
897.0,897.0,0.01009798
898.0,898.0,0.07269704
899.0,899.0,0.19086275
900.0,900.0,2.9106506E-10
901.0,901.0,0.27981406
902.0,902.0,0.016310059
903.0,903.0,0.16614442
904.0,904.0,0.29314837
905.0,905.0,0.09830642
906.0,906.0,7.97433E-5
907.0,907.0,5.2136797E-9
908.0,908.0,2.1434879E-7
909.0,909.0,1.083898E-4
910.0,910.0,0.099983476
911.0,911.0,0.051216353
912.0,912.0,0.07392718
913.0,913.0,6.352697E-8
914.0,914.0,0.47113523
915.0,915.0,0.06170308
916.0,916.0,0.38153112
917.0,917.0,0.26212934
918.0,918.0,0.0833854
919.0,919.0,0.69383425
920.0,920.0,4.5273444E-4
921.0,921.0,0.05876493
922.0,922.0,1.6587746E-9
923.0,923.0,0.2655552
924.0,924.0,0.045348514
925.0,925.0,9.780159E-9
926.0,926.0,0.059399523
927.0,927.0,0.10487553
928.0,928.0,0.5938458
929.0,929.0,4.8649936E-6
930.0,930.0,0.25025186
931.0,931.0,2.0839441E-9
932.0,932.0,0.05663473
933.0,933.0,0.24674238
934.0,934.0,0.021404084
935.0,935.0,0.3559228
936.0,936.0,0.11149724
937.0,937.0,5.6093035E-5
938.0,938.0,0.14709444
939.0,939.0,0.08840125
940.0,940.0,0.22458357
941.0,941.0,9.945434E-9
942.0,942.0,0.007259448
943.0,943.0,0.010811082
944.0,944.0,0.6237564
945.0,945.0,5.79333E-9
