"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"106","Bolitoglossa porrasorum","605","912.5","1073","1065","1160","1512","19","21","21","21.2","22","24","8","9","10","9.467","10","10","65","67","68","67.87","69","70","139","141","142","142.9","143.5","152","25","27.5","28","28.07","29","31","13","13.5","14","14.13","15","16","13","13","14","13.8","14","15","19","21","22","21.67","22","24","19","21","21","21.2","22","24","21","22","23","22.87","23.5","25","17","19","19","19.33","20","22","1173","1226","1278","1279","1322","1396","160","173.5","192","187.3","197","212","22","22.5","26","26.8","28","39","42","47","52","52.8","60","60","436","483.5","499","496.5","515","551","93","97.5","106","108.5","116.5","138","251","306","346","332.4","360.5","377","125","147","183","181.2","211.5","243"
"107","Bolitoglossa riletti","502","776.2","881","938.5","1013","1497","21","23","24","23.43","24","25","12","13","13","12.79","13","13","74","76","76","75.93","76","77","136","141.5","146","145.4","149.8","154","29","31","32","31.43","32","33","12","14","15","14.64","15","17","16","17","17","16.79","17","17","22","24","24","24.21","25","26","19","21.25","22","21.93","22.75","24","23","24.25","25","25.14","26","27","19","21","21.5","21.36","22","23","1411","1461","1484","1498","1528","1599","301","344","349","347.2","357.2","373","2","3","3.5","4.643","5.75","9","102","108.2","110.5","109.3","112","113","837","902.2","916.5","913.4","922","974","12","13","15.5","17.86","19.5","31","348","368","382","393.6","414","458","13","15","16.5","19","19.75","31"
"108","Bolitoglossa robusta","307","1176","1553","1608","1986","3055","9","15","18","17.6","20","25","8","9","9","9.251","10","11","77","82","83","83.02","84","86","49","60","62","62.75","65","78","14","21","24","23.26","26","30","4","10","12","12.04","15","20","10","11","11","11.18","12","13","9","15","18","17.57","20","25","8","15","18","17.63","20","25","10","16","19","18.35","21","26","8","14","17","16.78","19","24","2089","2588","3107","3042","3474","4217","297","378","413","418.2","450","574","9","35.5","77","80.79","124","179","26","34","44","48.88","64.5","85","845","1043","1137","1132","1205","1478","47","134","337","298.2","440","601","289","489.5","614","647.8","803","1140","93","373","635","604.4","822.5","1044"
"109","Bolitoglossa rostrata","1843","2490","2778","2753","3027","3615","8","11","12","12.25","14","17","9","11","12","11.64","12","13","71","73.25","75","75.14","77","80","88","106.2","129","124.9","144.8","163","15","18","19","19.67","21","24","-1","3","4","4.127","5","10","12","15","16","15.56","17","18","9","12","13","13.18","15","18","6","9","11","10.72","12","16","9","12","13","13.54","15","19","6","9","10","10.54","12","16","1188","1443","1498","1549","1560","2274","228","272","285","296.1","304.5","433","3","6.25","12","13.25","17","44","67","80","84","83.66","88","94","561","678.2","700","726.9","732.2","1040","17","30.5","47.5","51.03","65.5","137","468","493","525.5","549.5","558","782","17","32.75","51","54.07","66","157"
"110","Bolitoglossa rufescens","3","127","254","420.7","628","2606","13","23","25","24.34","26","27","7","9","10","9.907","10","14","50","60","64","63.41","67","77","121","152","173","182.5","210","385","20","31","32","31.96","34","35","4","15","16","16.2","18","20","12","14","16","15.76","17","22","14","25","26","25.44","27","28","11","23","25","23.9","25","28","14","25","27","26.24","28","29","10","21","22","21.83","23","25","914","2073","2530","2545","3096","4752","159","352.8","431","433.8","510","840","1","40","59","60.21","77","159","40","56","63","65.81","71","108","424","923","1148","1151","1378","2122","8","138.8","201.5","206.5","266","542","238","470","595","621.9","718","1549","8","209","331","326.1","430","911"
"111","Bolitoglossa schizodactyla","5","99.25","210","310.6","427.2","1754","17","24","26","24.9","26","27","6","7","7","7.584","8","10","71","79","81","80.17","82","85","42","51","62","60.59","68","80","22","29","30","29.82","31","32","11","20","21","20.35","22","23","8","9","9","9.469","10","12","16","24","25","24.57","26","27","17","24.25","26","25.13","26","27","17","25","26","25.72","27","28","16","24","25","24.23","25","26","2067","2784","2981","2943","3122","3797","294","350","380.5","389.2","427","556","4","22","33","54.58","92","165","20","33","45","44.55","53","74","808","961","1040","1043","1123","1335","43","178.2","284.5","285.7","396","555","310","434","480","510.3","580.5","980","418","729","870","863.7","1023","1256"
"112","Bolitoglossa sombra","1466","1670","1862","1912","2110","2525","12","14.5","16","15.75","17.25","19","8","9","9","9.25","10","10","83","83.75","84","84.12","85","85","49","53.5","56","57","61","65","17","19.5","21.5","21.25","23.25","25","7","9.5","10.5","10.38","11.5","13","10","10","11","10.88","11.25","12","12","14.5","15.5","15.62","17.25","19","12","13.75","15.5","15.5","17.25","19","13","14.75","16.5","16.5","18.25","20","11","13.75","15.5","15","16.25","18","2604","2794","2834","2858","2930","3107","467","507.5","521","521.2","536.5","569","14","21.75","24","26.38","30","42","66","67.75","69.5","69.5","72","72","1140","1199","1223","1242","1275","1363","68","83.25","90.5","102.9","128.5","151","470","568","589","684.2","898","906","139","154.2","396.5","335.2","460.2","502"
"113","Bolitoglossa stuarti","579","719.5","871","1106","1502","2244","16","19.5","23","22","24","25","10","11","11","11.35","12","13","68","70","72","72.32","74","78","112","142","151","147.6","157.5","163","24","27","31","29.71","32","33","7","11","16","14.11","17","17","14","15","16","15.67","16","17","17","20.5","24","22.71","25","25","14","18","22","20.63","23","24","18","21","25","23.74","26","27","14","18","21","20.08","22","23","1022","1156","1318","1355","1505","2119","221","249.5","287","288.3","322.5","409","2","5","7","7.874","10","19","87","92","95","94.81","98","102","499","590","678","689.5","775","1040","11","23.5","28","30.65","36","69","368","387","409","421.8","446","593","11","24.5","34","40.32","51.5","95"
"114","Bolitoglossa subpalmata","672","1184","1535","1632","2006","2976","10","16","18","17.65","20","23","8","9","9","9.117","9","10","78","80","82","81.55","83","84","62","66","69","69.21","72","77","15","21","24","23.14","25","28","4","10","12","12.08","15","17","10","11","11","11.12","11","12","10","16","18","17.64","20","23","9","15","18","17.81","21","23","11","17","19","18.51","21","24","9","15","17","16.79","19","22","2251","2704","3351","3193","3507","4172","361","385","407","418.6","437","574","12","40","69","76.69","104","168","29","37","41","47.12","58","76","938","1108","1153","1167","1227","1478","67","170","340","305.3","394","559","272","472","609","636","811","1044","195","462","828","715.8","898","1058"
"115","Bolitoglossa suchitanensis","1447","1447","1447","1447","1447","1447","20","20","20","20","20","20","8","8","8","8","8","8","75","75","75","75","75","75","95","95","95","95","95","95","25","25","25","25","25","25","14","14","14","14","14","14","11","11","11","11","11","11","20","20","20","20","20","20","19","19","19","19","19","19","21","21","21","21","21","21","18","18","18","18","18","18","1536","1536","1536","1536","1536","1536","302","302","302","302","302","302","6","6","6","6","6","6","92","92","92","92","92","92","786","786","786","786","786","786","27","27","27","27","27","27","231","231","231","231","231","231","48","48","48","48","48","48"
"116","Bolitoglossa synoria","1673","1873","2011","1955","2068","2118","16","16","16","16.43","16.5","18","8","8.5","9","8.714","9","9","70","71","72","71.86","73","73","116","118.5","120","121.7","124","131","21","21.5","22","22.14","22.5","24","10","10","10","10.29","10.5","11","12","12","12","12.14","12","13","16","16.5","17","17","17.5","18","15","15","15","15.57","16","17","17","17","18","17.86","18.5","19","14","14","15","14.86","15.5","16","1584","1614","1638","1627","1642","1656","290","294","296","295.9","298.5","300","14","16.5","19","19","22","23","78","82.5","87","84.86","87.5","89","780","800","805","804.7","814","820","48","54","60","64.14","73","87","511","517.5","527","522.9","528.5","530","56","61.5","68","78.29","91.5","118"
"117","Bolitoglossa tica","2132","2190","2270","2278","2358","2443","13","13.75","14","14","14.25","15","9","9.75","10","9.75","10","10","84","84.75","85","84.75","85","85","60","61.5","62","61.75","62.25","63","18","19.5","20","19.5","20","20","7","7.75","8","8","8.25","9","11","11","11.5","11.5","12","12","13","13.75","14.5","14.25","15","15","13","13.75","14","13.75","14","14","14","14","14.5","14.5","15","15","12","12.75","13.5","13.25","14","14","2301","2317","2404","2482","2568","2818","387","399.8","410.5","407.8","418.5","423","22","25","33","35.5","43.5","54","57","65.25","70","67.75","72.5","74","1071","1079","1094","1106","1121","1162","83","83.75","115.5","131","162.8","210","674","679.2","686","705.2","712","775","304","311.5","340","371","399.5","500"
"118","Bolitoglossa yucatana","-2","9","16","30.42","25","288","25","26","26","25.79","26","27","7","12","12","12.09","13","14","58","68","70","69.53","71","74","152","184","192","191.1","199","217","31","33","34","33.99","35","36","15","16","16","16.67","17","21","11","17","18","17.31","18","20","26","27","27","27.02","27","28","23","24","25","24.78","25","26","26","28","28","27.76","28","29","22","23","23","23.06","23","24","607","1015","1159","1118","1242","1460","116","171","190","187.7","203","260","8","22","33","30.74","39","47","44","54","60","61.01","68","81","280","460","501","492.8","535","707","36","78","112","104.8","129","150","192","316","391","372.6","424","535","63","106","135","135.6","160","239"
"119","Bolitoglossa zapoteca","1047","1286","1526","1404","1583","1640","22","22.5","23","23","23.5","24","13","13","13","13","13","13","82","82.5","83","83","83.5","84","77","81","85","84","87.5","90","30","30","30","30.67","31","32","14","14.5","15","15","15.5","16","15","15","15","15.33","15.5","16","23","23","23","23.33","23.5","24","21","21.5","22","22","22.5","23","23","23.5","24","24","24.5","25","21","21.5","22","22","22.5","23","809","834.5","860","850","870.5","881","176","185","194","191","198.5","203","2","2","2","2.333","2.5","3","103","103","103","103.7","104","105","462","479","496","490.3","504.5","513","11","11","11","12","12.5","14","271","281.5","292","288","296.5","301","11","11","11","12","12.5","14"
"120","Chiropterotriton arboreus","1547","1547","1547","1547","1547","1547","19","19","19","19","19","19","14","14","14","14","14","14","68","68","68","68","68","68","237","237","237","237","237","237","29","29","29","29","29","29","8","8","8","8","8","8","21","21","21","21","21","21","20","20","20","20","20","20","16","16","16","16","16","16","21","21","21","21","21","21","15","15","15","15","15","15","1095","1095","1095","1095","1095","1095","226","226","226","226","226","226","25","25","25","25","25","25","78","78","78","78","78","78","547","547","547","547","547","547","78","78","78","78","78","78","276","276","276","276","276","276","84","84","84","84","84","84"
"121","Chiropterotriton chondrostega","642","1597","1869","1749","2071","2457","14","17","18","18.06","19","22","9","13.5","15","14.17","15","16","55","62","70","66.4","71","73","199","215.5","230","246.5","245.5","354","23","27","29","28.43","29","32","4","6","7","7","7","11","16","21","22","21.37","22","23","15","18","19","19.63","20.5","25","12","14","15","15.31","16","19","16","19","21","20.71","21.5","26","11","14","15","14.71","15","18","499","619.5","829","902.5","1045","1973","100","124.5","182","182.3","197","376","7","9","12","17.49","17","63","66","78","80","79.11","83","88","239","307.5","431","450.1","538.5","910","28","35.5","50","62.63","65","195","142","171.5","209","285.2","370.5","639","28","35.5","53","65.09","65.5","211"
"122","Chiropterotriton cracens","919","937.5","956","1218","1368","1780","18","19.5","21","20","21","21","13","13","13","13.33","13.5","14","57","57","57","59","60","63","290","321","352","333","354.5","357","29","30.5","32","31","32","32","6","7","8","7.667","8.5","9","23","23","23","23","23","23","21","22.5","24","23","24","24","14","15","16","15.33","16","16","21","22.5","24","23","24","24","14","15","16","15.33","16","16","842","923.5","1005","962.3","1022","1040","157","166","175","171.3","178.5","182","12","13.5","15","14","15","15","75","76","77","76.67","77.5","78","431","463.5","496","483","509","522","53","59","65","61.33","65.5","66","343","413","483","445","496","509","53","59","65","61.33","65.5","66"
"123","Chiropterotriton dimidiatus","2383","2513","2615","2641","2792","2899","12","13","14","13.75","14.25","15","13","14","15","14.58","15","16","74","76","76","76.08","77","77","166","171.2","175.5","176.2","182.2","187","20","21.75","23","22.83","24","25","3","3","4","3.583","4","4","17","18.75","19.5","19.33","20","21","13","14","15","14.83","15.25","17","10","11","11","11.42","12","13","14","14.75","16","15.58","16.25","17","10","10.75","11","11.25","12","13","448","604.5","680.5","684.3","826.5","878","78","105","122","124.7","155","166","6","10.25","12.5","12.25","16","17","69","74.75","76.5","75.83","78","80","208","293.5","335","340","421.8","449","27","35.25","41","41","49.25","53","159","188.5","200","200.9","224","233","27","35.25","41","41.67","51.25","55"
"124","Chiropterotriton lavae","1636","1712","1886","1887","2060","2142","14","14","15","15.25","16.25","17","10","10","10","10","10","10","65","65.75","66.5","66.25","67","67","189","189.8","196","196.2","202.5","204","21","21","22.5","22.5","24","24","6","6.75","7.5","7.5","8.25","9","14","14.75","15","14.75","15","15","15","15.75","17","16.75","18","18","14","14","14","14.25","14.25","15","16","16","17","17.25","18.25","19","11","11.75","13","12.75","14","14","1241","1286","1367","1368","1449","1498","244","245.5","256","258.2","268.8","277","39","39.75","41","41","42.25","43","62","62.75","66","66","69.25","70","552","569.2","628.5","632","691.2","719","134","136.2","137.5","137.2","138.5","140","289","300.2","327","329","355.8","373","145","148.8","155.5","155","161.8","164"
"125","Chiropterotriton magnipes","943","1261","1448","1512","1780","2185","17","18.5","20","19.58","20.5","22","13","14","14","14.53","15","16","59","62.5","65","64.89","67.5","70","226","242.5","258","264","283.5","315","28","29","30","30.37","31.5","33","5","7","8","7.947","9","10","22","22","22","22.42","23","23","18","20","21","21.32","22.5","24","15","16.5","17","17.21","18","19","20","21","22","22.32","23.5","25","14","15","16","16","17","18","711","727.5","816","847.3","922.5","1159","154","168","193","190","211.5","239","9","11.5","13","14.11","14.5","27","76","82","85","84.11","87","89","368","388","444","442.4","491","560","36","42.5","47","49.47","52","84","174","182","204","232.9","231","407","43","49.5","52","56.53","61","91"
